120 Defects4J bugs,RewardRepair-Semantic,RewardRepair-Syntactic,Recorder pefect FL,Recorder PFL 120 ,SequenceR,original Coconut,Coconut in 120,SimFix,CapGen,TBar,TBar in 120,DLFIX in 120,Cure,Cure in 120 bugs,TBAR+Hercules+SimFix+DLFix
Closure_33,Math_80,Chart_1,Lang_51,Closure_14,,Math_58,Mockito_29,,,Lang_51,Mockito_29,Math_85,Lang_57,Chart_1,Mockito_29
Math_34,Mockito_5,Math_50,Lang_55,Math_50,,Math_59,Mockito_38,,,Lang_57,Mockito_38,Mockito_38,Lang_59,Lang_38,Mockito_38
Math_75,Closure_11,Closure_126,Lang_57,Time_19,,Math_65,Time_19,,,Lang_59,Time_19,Time_19,Lang_6,Math_27,Time_19
Closure_67,Chart_1,Closure_92,Lang_59,Chart_1,,Math_77,,,,Lang_6,,,Math_2,Chart_20,Chart_3
Closure_70,Closure_1,Math_104,Math_5,Lang_38,,Math_80,,,,Math_11,,,Math_22,Closure_11,Closure_14
Chart_24,Math_50,Chart_9,Math_27,Time_4,,Math_82,,,,Math_4,,,Math_27,Lang_29,Closure_86
Closure_15,Closure_126,,Math_30,Closure_125,,Math_90,,,,Math_5,,,Math_30,Closure_126,Closure_92
Time_15,Closure_92,,Math_33,Math_27,,Math_94,,,,Math_57,,,Math_34,Math_2,Lang_38
Lang_6,Lang_57,,Math_34,Chart_20,,Math_98,,,,Math_58,,,Math_41,Closure_38,Lang_43
Closure_62,Math_2,,Math_41,Closure_11,,Mockito_5,,,,Math_65,,,Math_50,Closure_92,Math_25
Math_82,Closure_38,,Math_50,Lang_29,,Mockito_8,,,,Math_70,,,Math_56,Math_59,Math_30
Mockito_29,Math_104,,Math_57,Math_85,,Mockito_29,,,,Math_75,,,Math_57,Mockito_38,Math_33
Math_73,Math_105,,Math_65,Closure_126,,Mockito_38,,,,Math_77,,,Math_58,Closure_57,Math_34
Closure_113,Chart_9,,Math_70,Lang_33,,Time_19,,,,Math_79,,,Math_59,Chart_12,Math_59
Closure_51,Mockito_38,,Math_75,Closure_104,,,,,,Math_82,,,Math_65,Lang_57,Time_15
Closure_120,,,Math_94,Math_33,,,,,,Math_85,,,Math_70,,Time_4
Mockito_34,,,Math_96,Closure_92,,,,,,Math_89,,,Math_75,,Closure_126
Math_57,,,Math_105,Mockito_38,,,,,,Mockito_26,,,Math_79,,Closure_18
Closure_118,,,Time_4,Closure_57,,,,,,Mockito_29,,,Math_80,,Math_41
Chart_3,,,Time_7,Math_105,,,,,,Mockito_38,,,Math_82,,Math_50
Closure_65,,,Mockito_38,Chart_12,,,,,,Time_19,,,Math_94,,Closure_19
Closure_10,,,Mockito_29,Lang_57,,,,,,Time_26,,,Math_98,,Closure_57
Mockito_5,,,Math_98,,,,,,,Time_7,,,Mockito_29,,Lang_58
Math_58,,,Chart_4,,,,,,,,,,Mockito_38,,Math_53
Closure_31,,,Chart_7,,,,,,,,,,Mockito_5,,
Math_41,,,Chart_12,,,,,,,,,,Time_19,,
Math_53,,,Closure_10,,,,,,,,,,,,
Math_25,,,Closure_11,,,,,,,,,,,,
Mockito_26,,,Closure_18,,,,,,,,,,,,
Math_94,,,Closure_31,,,,,,,,,,,,
Closure_119,,,Closure_40,,,,,,,,,,,,
